kg,model,strategy,rerun,rerun_seed,auroc,auprc,mrr,hits@10,hits@100,train_time_s
drkg,TransE,type-constrained,1,1042,0.9657186580246064,0.8559206407996048,0.0129714965337201,0.0201207243460764,0.1891348088531187,368.7929685115814
drkg,TransE,shared-target,1,1042,0.8015489314154545,0.4483635118712777,0.009032708650465,0.0100603621730382,0.1227364185110664,368.7929685115814
drkg,RotatE,random,1,1042,0.9289402410438486,0.839781328970558,0.0131852690662257,0.0201207243460764,0.1971830985915492,597.983461856842
drkg,RotatE,type-constrained,1,1042,0.9288098814213248,0.8349911555088025,0.0131143477423874,0.0201207243460764,0.1911468812877263,597.983461856842
drkg,RotatE,shared-target,1,1042,0.8410317032982604,0.5579932072823497,0.0104752945860317,0.0160965794768611,0.1549295774647887,597.983461856842
drkg,Gemma,random,1,1042,0.5230886323980097,0.1552716781702723,0.0009560512289008,0.0,0.0040241448692152,0.0
drkg,Gemma,type-constrained,1,1042,0.5162475861203438,0.153565060273304,0.0009313894386012,0.0,0.0040241448692152,0.0
drkg,Gemma,shared-target,1,1042,0.6276192365460369,0.2136955653612245,0.0031315855820684,0.0040241448692152,0.0402414486921529,0.0
drkg,TransE,random,2,2042,0.9639948341963248,0.835568526451587,0.0129259969496285,0.0201207243460764,0.1790744466800805,370.4917497634888
drkg,TransE,type-constrained,2,2042,0.9653502503957346,0.8440140664720633,0.012973696685743,0.0201207243460764,0.1851106639839034,370.4917497634888
drkg,TransE,shared-target,2,2042,0.8086474581897827,0.4719284208490553,0.0094530792321389,0.0140845070422535,0.1327967806841046,370.4917497634888
drkg,RotatE,random,2,2042,0.9260164609386702,0.8104076111505542,0.0130325522834713,0.0201207243460764,0.1911468812877263,598.9377789497375
drkg,RotatE,type-constrained,2,2042,0.9288268848503496,0.8354845255623096,0.0131925781772,0.0201207243460764,0.1951710261569416,598.9377789497375
drkg,RotatE,shared-target,2,2042,0.8402228258889353,0.5594332213120344,0.0096034669578599,0.0181086519114688,0.1529175050301811,598.9377789497375
drkg,Gemma,random,2,2042,0.5365286285115118,0.1593858326763966,0.0010542078290462,0.0,0.0080482897384305,0.0
drkg,Gemma,type-constrained,2,2042,0.5279888587055532,0.1566879227220407,0.0009829868130337,0.0,0.0040241448692152,0.0
drkg,Gemma,shared-target,2,2042,0.6394350003441169,0.2283529408710984,0.004248808379497,0.0080482897384305,0.0503018108651911,0.0
openbilink,TransE,random,0,42,0.9658483258735356,0.9367053992420312,0.009877536084218,0.0139470013947001,0.1394700139470014,313.23309683799744
openbilink,TransE,type-constrained,0,42,0.966454057565908,0.938590016362272,0.0098809505513511,0.0139470013947001,0.1394700139470014,313.23309683799744
openbilink,TransE,shared-target,0,42,0.9260703885903026,0.8484510687876414,0.0096970665912319,0.0139470013947001,0.1380753138075313,313.23309683799744
openbilink,RotatE,random,0,42,0.9396392453446778,0.8651078917626283,0.0097297881914586,0.0139470013947001,0.1380753138075313,506.8605122566223
openbilink,RotatE,type-constrained,0,42,0.939711217318402,0.8684894056766324,0.009757867408374,0.0139470013947001,0.1394700139470014,506.8605122566223
openbilink,RotatE,shared-target,0,42,0.8555292955110886,0.6480554249731393,0.0091029584590836,0.0139470013947001,0.1352859135285913,506.8605122566223
openbilink,Gemma,random,0,42,0.6982810369410744,0.295127435032657,0.0053434836551704,0.00697350069735,0.0516039051603905,0.0
openbilink,Gemma,type-constrained,0,42,0.6947512979270126,0.2919162279564802,0.0055264092821657,0.00976290097629,0.0502092050209205,0.0
openbilink,Gemma,shared-target,0,42,0.6458103557944247,0.2475080385469881,0.0047819306292453,0.00697350069735,0.0432357043235704,0.0
